認證編號,實驗室名稱,實驗室地址,實驗室電話,實驗室網站,通過日期,認證項目,公告資訊名稱,公告資訊連結,認證證書連結
"001","財團法人食品工業發展研究所(檢驗技術研發及服務中心)","30062新竹市東區食品路331號","(03) 5223191","http://www.firdi.org.tw/2/2-1.htm","111.05.02","亞硝酸鹽、食品中過氧化氫、著色劑、食品中二氧化硫、防腐劑、甲基汞(三)、水產動物類中重金屬(鉛、鎘)、食品添加物檢驗規格(苯甲酸類)、殘留農藥-殺菌劑二硫代胺基甲酸鹽類(二)、脂肪酸、糖類、水分、粗灰分、粗蛋白質、粗脂肪、礦物質(鈣、磷、鐵、鋅、鈉、鉀、鎂)、食品中咖啡因、飲料中咖啡因、鄰苯二甲酸酯類、金黃色葡萄球菌、腸炎弧菌、仙人掌桿菌、乳酸菌、生菌數、大腸桿菌群、黴菌及酵母菌、包(盛)裝飲用水(大腸桿菌群、糞便性鏈球菌、綠膿桿菌)、、沙門氏桿菌、阪崎腸桿菌、包(盛)裝飲用水及食用冰塊中重金屬(砷、鉛、鎘、汞、銻)、動物性成分-定性篩選、動物性成分(牛、豬、雞、蟹)、植物性成分(芒果、花生、蒜、韭、蕎、蔥、洋蔥)、食品中單核球增多性李斯特菌、殘留農藥-多重殘留分析(五)、黃麴毒素、乳製品中黃麴毒素M1、乙型受體素類、腸桿菌科、動物性成分-羊、乳品中單核球增多性李斯特菌、大腸桿菌、甜味劑、水產動物類、禽畜產品類及蜂蜜中重金屬(鉛、鎘)","衛生福利部111年05月02日衛授食字第1111102691D號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637872798737608100&type=4","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637873695048746384&type=4"
"002","台灣檢驗科技股份有限公司(食品實驗室-台北)","24886新北市五股區新北產業園區五工路125號","(02) 2299-3279","http://www.tw.sgs.com/zh_tw/home_tw_v2?","111.09.01","水分、粗灰分、粗脂肪、二氧化硫(食品)、三聚氰酸、咖啡因、塑化劑、卡巴得及其代謝物、抗原蟲劑、氯黴素類、孔雀綠及其代謝物、丙酸、亞硝酸鹽、四環黴素類、硼酸及其鹽類、過氧化氫(食品)、順丁烯二酸、3-單氯丙二醇、水產動物類重金屬(汞)、生菌數、大腸桿菌群、金黃色葡萄球菌、黴菌及酵母菌、仙人掌桿菌、沙門氏桿菌、抗生素及其代謝物、銅葉綠素、游離棉籽酚、戴奧辛及多氯聯苯(乳品類、魚貝類、油脂類、蛋類、肉類)、粗蛋白、二甲基黃及二乙基黃、有機酸、Avermectins類抗生素、胺基醣苷類抗生素(一)、(二)、甲醛(二)、甲基汞(三)、殘留農藥-二硫代胺基甲酸鹽類(二)、食米中無機砷、水產動物類中無機砷、安保寧(二)、總配醣生物鹼、抗氧化劑、乙醯異戊醯泰樂黴素、泰拉黴素、丙烯醯胺、殘留農藥-多重殘留分析(五)、黴菌毒素-多重殘留分析、離子型抗球蟲劑、氟尼辛及托芬那酸、動物用藥-多重殘留分析(二)、麻痺性貝毒(二)、三聚氰胺、蜂蜜中C4植物糖、包裝(盛裝)飲用水及食用冰塊中重金屬(鉛、鎘、汞、砷、銻)、禽畜產品中殘留農藥-多重殘留分析、黃麴毒素、飲料及乳品中重金屬(鉛、銅、砷、銻)、蔬果植物、果醬及果凍中重金屬(鉛、鎘、汞)、單核球增多性李斯特菌、黃麴毒素M1、腸桿菌科、乙型受體素類、飲料中咖啡因、大腸桿菌、乳品中單核球增多性李斯特菌、蛋類中重金屬(鉛、銅)、菇蕈類中重金屬(鉛、鎘)、金屬罐裝食品中重金屬(錫)、水產動物類、禽畜產品類及蜂蜜中重金屬(鉛、鎘)、β-內醯胺類抗生素、可利斯汀、棒麴毒素、玉米赤黴毒素、脫氧雪腐鐮刀菌烯醇、橘黴素、赭麴毒素A、黃麴毒素B1、多環芳香族碳氫化合物","衛生福利部111年09月01日衛授食字第1111105537號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637977304451231216&type=4","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637979634956575465&type=4"
"003","全國公證檢驗股份有限公司(化學與微生物實驗室)","11492台北市內湖區瑞光路423號8樓","(02)6602-2888","http://www.intertek-twn.com/big5/news/index_news.asp?page_id=7&project_code=0","111.04.29","水分、粗灰分、粗脂肪、粗蛋白、二氧化硫(食品)、糖類(蔗糖、果糖、半乳糖、乳糖、葡萄糖、麥芽糖)、果糖酸、礦物質(鈣、銅、鐵、鎂、錳、磷、鉀、鈉、鋅)、橘黴素、棒麴毒素、維生素C、孔雀綠及其代謝產物、塑化劑、著色劑、三聚氰胺、壬基苯酚及壬基苯酚聚乙氧基醇、溴酸鹽、過氧化氫(食品)、過氧化氫(免洗筷)、二氧化硫(免洗筷)、硼酸及其鹽類、溶出試驗(鉛、鎘、砷、鋅、銻、鍺)、溶出試驗(雙酚A)、溶出試驗(以Pb計)、著色劑(包材)、螢光增白劑(包材)、溶出試驗(高錳酸鉀消耗量、甲基丙烯酸甲酯單體、酚、氯仿可溶物、蒸發殘渣、氯甲代環氧丙烷單體、氯乙烯單體、總乳酸、己內醯胺單體、甲醛)、砷之檢驗(以As2O3計)、材質鑑別、材質試驗(二丁錫化物、鉛、鎘、氯乙烯單體、聚偏二氯乙烯單體、2-巰基咪唑啉、鋇)、順丁烯二酸、溶出試驗(三聚氰胺)、3-單氯丙二醇、銅葉綠素、食品中脂肪酸、材質試驗(苯乙烯、甲苯、乙苯、正丙苯、異丙苯)、溶出試驗(DBP、DEHP、BBP、DEHA、DINP、DIDP)、氯黴素類、赭麴毒素A、二甲基黃及二乙基黃、四環黴素類、材質試驗(2-巯基咪唑啉、鉛、鎘)-哺乳器具除外橡膠類、溶出試驗(酚)-哺乳器具除外橡膠類、溶出試驗(甲基丙烯酸甲酯單體)-聚甲基丙烯酸甲酯塑膠類、材質試驗(鉛、鎘)-甲基丙烯酸甲酯塑膠類、材質試驗(鉛、鎘)-聚醯胺(尼龍)塑膠類、溶出試驗(己內醯胺單體)-聚醯胺(尼龍)塑膠類、溶出試驗(鋅、酚)-哺乳器具橡膠類、材質試驗(鉛、鎘)-聚乙烯塑膠類、聚丙烯塑膠類、聚甲基戊烯塑膠類、溶出試驗(鉛)-玻璃、陶瓷器、施琺瑯、玉米赤黴毒素、玉米及其製品中伏馬毒素B1和B2、脫氧雪腐鐮刀菌烯醇及其乙醯衍生物、材質試驗(鉛、鎘)-聚對苯二甲酸乙二酯、材質試驗(鉛、鎘)-聚乳酸、材質試驗(鉛、鎘)-聚苯砜樹酯塑膠類嬰兒奶瓶、材質試驗(鉛、鎘)-聚碳酸酯、材質試驗(鉛、鎘)-聚醚砜樹酯塑膠類嬰兒奶瓶、溶出試驗(甲醛)-未以塑膠淋膜紙類製品、溶出試驗(銻、鍺)-聚對苯二甲酸乙二酯)、塑膠類嬰兒奶瓶雙酚A、塑膠類食品容器-塑化劑、咖啡因、甜味劑、黃麴毒素B1、動物用藥-多重殘留分析(二)、動物性成分-定性篩選、動物性成分-雞、牛、豬、亞硝酸鹽、甲基汞(三)、食米中重金屬(鉛、鎘、汞)、食用藻類無機砷、耐熱性試驗、甲醛(二)、食品中磷酸鹽、抗生素及其代謝產物、抗原蟲劑、飲料中咖啡因、甲醛(乙醯丙酮法)、魚油EPA、DHA、Monacolin K、黴菌毒素-多重毒素、殘留農藥-殺菌劑二硫代胺基甲酸鹽類(二)、植物性成分-蔥、蒜、洋蔥、韭、蕎、碘價(食用油脂)、酸價、過氧化價、硝基呋喃代謝物、蘇丹色素、總極性化合物、T-2毒素及HT-2毒素、卡巴得及其代謝物、防腐劑、抗氧化劑、生菌數、大腸桿菌群、志賀氏桿菌、金黃色葡萄球菌、腸炎弧菌、仙人掌桿菌、乳酸菌、包裝飲用水中綠膿桿菌、包裝飲用水中糞便性鏈球菌、包裝飲用水中大腸桿菌群、阪崎腸桿菌、沙門氏桿菌、黴菌及酵母菌、離子型抗球蟲藥、著色劑(二)、包裝(盛裝)飲用水及食用冰塊中重金屬(鉛、鎘、汞、砷、銻)、多環芳香族碳氫化合物、禽畜產品中殘留農藥-多重殘留分析、黃麴毒素、水產動物類中無機砷、食米中無機砷、飲料及乳品中重金屬(鉛、銅、砷、銻)、蔬果植物、果醬及果凍中重金屬(鉛、鎘、汞)、西藥成分定性(食品)(232)、甜味劑(多重)、單核球增多性李斯特菌、腸桿菌科、乙型受體素類、黃麴毒素M1、丙酸、動物性成分-羊、食品添加物檢驗規格-重金屬檢查法、食品添加物檢驗規格-鉛檢查法、食品添加物檢驗規格-砷檢查法、乳品中單核球增多性李斯特菌、大腸桿菌、殘留農藥-多重殘留分析(五)、水產動物類、禽畜產品類及蜂蜜中重金屬(鉛、鎘)、食用油脂及奶油中重金屬(砷、汞、鉛)、β-內醯胺類抗生素、乙醯異戊醯泰樂黴素及其代謝物、泰拉黴素、胺基糖苷類抗生素(二)","衛生福利部111年04月29日衛授食字第1111102728J號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637873442337970577&type=4","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637874346805991881&type=4"
"004","財團法人台北市瑠公農業產銷基金會(農業檢驗中心)","23141新北市新店區民權路50號4樓","(02) 2915-8703","http://www.liukung.org.tw/index7t.asp","108.11.14","殘留農藥-多重殘留分析(五)、殘留農藥-殺菌劑二硫代胺基甲酸鹽類(二)","衛生福利部108年11月14日衛授食字第1081106292號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637102705807515724","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637166837642095152"
"005","台美檢驗科技股份有限公司(檢驗中心)","24889新北市新莊區五股工業區五工五路21號","(02) 2298-1370","http://www.superlab.com.tw/","111.08.24","生菌數、大腸桿菌群、黴菌及酵母菌、腸炎弧菌、仙人掌桿菌、大腸桿菌O157：H7、產氣莢膜桿菌、阪崎腸桿菌、沙門氏桿菌、乳品中李斯特菌、金黃色葡萄球菌、曲狀桿菌、赭麴毒素A、二氧化硫(食品)、咖啡因、飲料中咖啡因、著色劑、過氧化氫、丙酸、硼酸及其鹽類、粗蛋白、礦物質-鈉、水分、粗灰分、粗脂肪、MonacolinK、二甲基黃及二乙基黃、順丁烯二酸、鄰苯二甲酸酯類、氯黴素類、植物性成分-蔥、洋蔥、蒜、韭、蕎、動物性成分-定性篩選、動物性成分-牛、羊、豬、雞、長雙叉乳酸桿菌、糞腸球菌、冬蟲夏草、嗜熱鏈球菌、副乾酪乳酸桿菌、發酵乳酸桿菌、嗜酸乳酸桿菌、食品添加物之砷規格檢驗、食品添加物之鉛規格檢驗、食品添加物之重金屬規格檢驗、蛋類中重金屬(鉛、銅)、甲基汞(三)、孔雀綠及其代謝物、硝基呋喃代謝物、殘留農藥-殺菌劑二硫代胺基甲酸鹽類之檢驗(二)、殘留農藥-多重殘留分析(五)、防腐劑、亞硝酸鹽、抗氧化劑、水產動物類中無機砷、食用藻類中無機砷、食米中無機砷、食米中重金屬(鉛、鎘)、食米中重金屬(汞)、3-單氯丙二醇、包(盛)裝飲用水大腸桿菌群、包(盛)裝飲用水糞便性鏈球菌、包(盛)裝飲用水綠膿桿菌、乳酸菌、霍亂弧菌、志賀氏桿菌、動物用藥-多重殘留分析(二)、三聚氰胺、三聚氰酸、甲醛(二)、甲醛(乙醯(代)丙酮法)、水產品中揮發性鹽基態氮、包(盛)裝飲用水中重金屬(鉛、鎘、汞、砷、銻)、腸桿菌科、黃麴毒素、甜味劑、蔬果植物類、果醬及果凍中重金屬(鉛、鎘、汞)、菇蕈類中重金屬(鉛、鎘)、單核球增多性李斯特菌、乙型受體素類、大腸桿菌、水產動物類、禽畜產品類及蜂蜜中重金屬(鉛、鎘)、食用油脂及奶油中重金屬(砷、汞、鉛)、魚油EPA、DHA","衛生福利部111年08月24日衛授食字第1111105498號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637973674094244231&type=4","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637973677707082379&type=4"
"006","味全食品工業股份有限公司(中央研究所 分析檢驗中心)","22102新北市汐止區新台五路一段98號15樓","(02) 2696-7969","http://www.arch-world.com.tw/Company/19415.html","108.11.14","灰分、水分、固形物、蛋白質、維生素C、酸度(果汁類)、粗脂肪、羥甲胺基氮","衛生福利部108年11月14日衛授食字第1081106275號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=92034","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637104479615670944"
"007","台灣檢驗科技股份有限公司(超微量工業安全實驗室)","24886新北市五股工業區五工路136-1號","(02) 2299-3279","http://www.tw.sgs.com/zh_tw/home_tw_v2?","110.12.07","Monacolin K、正己烷、難消化性糊精、西藥成分定性(食品)(232)、包裝飲用水中溴酸鹽、食品中磷酸鹽","衛生福利部110年12月07日衛授食字第1101109520號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637746366825168624&type=4","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637746378868187396&type=4"
"008","暐凱國際檢驗科技股份有限公司(食品安全檢驗中心)","114台北市內湖區內湖路1段120巷15弄28號","(02) 8751-1232","http://www.fsii.com.tw/","111.06.14","孔雀綠及其代謝物、硝基呋喃代謝物、二甲基黃及二乙基黃、水分、粗灰分、粗脂肪、粗蛋白、著色劑、三聚氰胺、黃麴毒素、赭麴毒素A、硼酸及其鹽類、過氧化氫、食米重金屬(鉛、鎘、汞)、過氧化價、酸價、二氧化硫(食品)、亞硝酸鹽、仙人掌桿菌、金黃色葡萄球菌、大腸桿菌群、生菌數、菇蕈類中重金屬(鉛、鎘)、黃麴毒素、單核球增多性李斯特菌、丙烯醯胺、食品添加物檢驗規格(鉛試驗法)、食品添加物檢驗規格(砷檢查法)、食品添加物檢驗規格(重金屬檢查法)、大腸桿菌、水產動物類、禽畜產品類及蜂蜜中重金屬(鉛、鎘)","衛生福利部111年06月14日衛授食字第1111103752號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637909062153617857&type=4","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637909069889424425&type=4"
