認證編號,實驗室名稱,實驗室地址,實驗室電話,實驗室網站,通過日期,認證項目,公告資訊名稱,公告資訊連結,認證證書連結
"010","財團法人中央畜產會(技術服務中心)","90049屏東縣屏東市工業五路2號","(08) 723-0341","http://service-center.naif.org.tw/skel.htm","111.04.22","生菌數、大腸桿菌、大腸桿菌群、病原性大腸桿菌、黴菌及酵母菌、大腸桿菌(O157:H7)、乳酸菌、霍亂弧菌、阪崎腸桿菌、產氣莢膜桿菌、包裝飲用水中大腸桿菌群、沙門氏桿菌、乳品李斯特菌、單核球增多性李斯特菌、包裝飲用水中糞便性鏈球菌、包裝飲用水中綠膿桿菌、金黃色葡萄球菌、曲狀桿菌、腸炎弧菌、仙人掌桿菌、腸桿菌科、動物性成分-定性篩選、動物性成分-豬、羊、雞、火雞、鴕鳥、牛、狗、植物性成分-蔥、蒜、洋蔥、韭、蕎、抗生物質、水分、水分含量、粗灰分、乳脂肪、粗脂肪、粗蛋白、澱粉、膽固醇、水解胺基酸、磷酸鹽、游離脂肪酸、水分活性測定、過氧化價、孔雀綠及其代謝物、四環黴素類、亞硝酸鹽、過氧化氫、卡巴得及其代謝物、抗原蟲劑、抗生素及其代謝物、氯黴素類、二甲基黃及二乙基黃、甜味劑、黃麴毒素、二氧化硫(食品)、順丁烯二酸、咖啡因(CNS)、咖啡因(公告)、Avermectin類抗生素、胺基醣苷類抗生素之檢驗(一)、(二)、甲基汞(三)、安保寧(二)、泰拉黴素、乙醯異戊醯泰樂黴素及其代謝物、硝基呋喃代謝物、殘留農藥-殺菌劑二硫代胺基甲酸鹽類(二)、防腐劑、乙型受體素類、離子型抗球蟲藥、氟尼辛及托芬那酸、可利斯汀、組織胺、水產動物類中無機砷、食米中無機砷、食米中重金屬(鉛、鎘、汞)、3-單氯丙二醇、著色劑、黃麴毒素M1、動物用藥-多重殘留分析(二)、殘留農藥-多重殘留分析(五)、禽畜產品中殘留農藥-多重殘留分析(129)、丙酸、包裝(盛裝)水及食用冰塊重金屬(鉛、鎘、汞、砷、銻)、塑化劑、β-內醯胺類抗生素、水產動物類、禽畜產品類及蜂蜜中重金屬(鉛、鎘)、蛋類中重金屬(鉛、銅)","衛生福利部111年04月22日衛授食字第1111102602號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637864910295062562","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637864952589264912&type=4"
"012","國立成功大學環境微量毒物研究中心(超微量物質分析實驗室)","70403台南市勝利路138號","(06) 235-3535","http://rcetts.rsh.ncku.edu.tw/bin/home.php","109.02.07","戴奧辛(肉類、乳品類、蛋類、魚貝類、油脂類、蔬果植物類)、多氯聯苯(肉類、乳品類、蛋類、魚貝類、油脂類、蔬果植物類)、非戴奧辛類多氯聯苯(39品項)(乳品類)","衛生福利部109年02月07日衛授食字第1091100748號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637170360673729871","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637170377363259733"
"015","上準環境科技股份有限公司(食品衛生實驗室)","40768台中市西屯區工業區三十六路41號","(04) 2358-2525","http://www.sundream.com.tw","109.11.04","過氧化氫、順丁烯二酸、戴奧辛及多氯聯苯(肉類、乳品類、油脂類、蛋類、魚貝類)","衛生福利部109年11月04日衛授食字第1091106862號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637401905847622677","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637480303007417700"
"016","台灣檢驗科技股份有限公司(食品實驗室-高雄)","81170高雄市楠梓加工出口區開發路61號","(07) 301-2121","http://www.tw.sgs.com/zh_tw/home_tw_v2?","111.07.29","生菌數、大腸桿菌群、包裝飲用水中(糞便性鏈球菌、綠膿桿菌、大腸桿菌群)、腸炎弧菌、仙人掌桿菌、黴菌及酵母菌、沙門氏桿菌、水分、粗灰分、粗脂肪、粗蛋白、酸價、總極性物質、膳食纖維、孔雀綠及其代謝物、動物性成分-定性篩選、動物性成分-豬、雞、牛、植物性成分-蔥、洋蔥、韭菜、蒜、蕎、著色劑、礦物質(鈣、銅、鐵、鎂、錳、磷、鉀、鈉、鋅)、硼酸及其鹽類、酸度(蜂蜜)、水不溶物含量(蜂蜜)、澱粉酶活性(蜂蜜)、羥甲基糠醛(蜂蜜)、維生素A、C、咖啡因、塑化劑、乳酸菌、順丁烯二酸、組織胺、膽固醇、動物性成分-金絲燕、鹿、病原性大腸桿菌、阪崎腸桿菌、氯黴素類、四環黴素類、過氧化價、維生素E、二甲基黃及二乙基黃、雙氰胺、金黃色葡萄球菌、食米重金屬(鉛、鎘、汞)、食品添加物規格檢驗-鉛檢查法、食品添加物規格檢驗-重金屬檢查法、食品添加物規格檢驗-砷檢查法、水分(蜂蜜)、糖類(蜂蜜)、聚果糖、志賀氏桿菌、產氣莢膜桿菌、基因改造食品(40-3-2(RRS)、A5547-127、DP-305423-1、DP-356043-5、MON87705、MON87708、MON89788、MON87769、MON87701)、大腸桿菌O157：H7、糖類(果糖、乳糖、半乳糖、蔗糖、葡萄糖、麥芽糖)、碘價、皂化價、甲基汞(三)、硝基呋喃代謝物、殘留農藥-殺菌劑二硫代胺基甲酸鹽類(二)、不皂化物、飲料中咖啡因、著色劑(米製品)、糖類(果糖、葡萄糖、蔗糖、麥芽糖、乳糖)、防腐劑、辣椒粉中鹼性橙及羅丹明B、食品中規定外媒焦色素、基因改造食品DAS-59122-7、TC1507、MON88017、MON89034、NK603、MON810、GA21、BT11、MIR604、T25、MIR162、MON87460、CaMV35S、FMV、NOS定性篩選、殘留農藥-多重殘留分析(五)、著色劑-多重殘留分析(二)、曲狀桿菌、動物用藥-多重殘留分析(二)、葡聚糖、膳食纖維、著色劑(二)、甜味劑(多重)、金屬罐中重金屬(錫)、禽畜產品中殘留農藥-多重殘留分析、蔬果植物、果醬及果凍中重金屬(鉛、鎘、汞)、單核球增多性李斯特菌、乙型受體素類、腸桿菌科、飲料及乳品中重金屬(鉛、銅、砷、銻)、基因改造食品FG-72(定性)、丙酸、動物性成分-羊、水產品中揮發性鹽基態氮、食品添加物檢驗規格重金屬檢查法、食品添加物檢驗規格砷檢查法、食品添加物檢驗規格鉛檢查法、食品中脂肪酸、乳品中李斯特菌、大腸桿菌、甜味劑(建議)、罐頭中重金屬(鉛)、水產動物類、禽畜產品類及蜂蜜中重金屬(鉛、鎘)、食用油脂及奶油中重金屬(砷、鉛、汞)、膳食纖維、β-內醯胺類抗生素、魚油中二十碳五烯酸及二十二碳六烯酸、基因改造食品A2704-12","衛生福利部111年07月29日衛授食字第1111104816號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637951194140523158&type=4","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637957185486002692&type=4"
"020","愛之味股份有限公司(健康科學研究所檢驗分析中心)","62152嘉義縣民雄鄉頭橋工業二路11號","(05) 221-1521","http://agvcn.cn.alibaba.com/","111.08.23","水分、粗蛋白、粗灰分、礦物質(鋅、銅、鐵、鈉、鈣)、粗脂肪、過氧化氫、膳食纖維、生菌數、大腸桿菌群、順丁烯二酸、赭麴毒素A、葡聚糖、聚果糖、黃麴毒素、腸桿菌科、大腸桿菌、防腐劑、硼酸及其鹽類","衛生福利部111年08月23日衛授食字第1111105394號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637969524679196997&type=4","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637969633458381447&type=4"
"021","國立成功大學-永續環境實驗所(藥物毒物分析實驗室)","709台南市安南區安明路三段500號","(06) 384-0136","http://serc.ncku.edu.tw/index.php?lang=cht","111.01.17","殘留農藥-殺菌劑二硫代胺基甲酸鹽類(二)、殘留農藥-多重殘留分析(五)","衛生福利部111年01月17日 衛授食字第1111100358號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637781158573921172","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637782857976491737&type=4"
"023","統一企業股份有限公司(永康品管課)","71001台南市永康區中正路301號","(06) 253-6789","http://www.uni-president.com.tw/","111.05.02","生菌數、大腸桿菌、大腸桿菌群、金黃色葡萄球菌、仙人掌桿菌、灰分(穀類)","衛生福利部111年05月02日衛授食字第1111102691B號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637872798737468215&type=4","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637874471273213315&type=4"
"024","財團法人中華穀類食品工業技術研究所(化驗組實驗室)","24937新北市八里區中山路三段223號","(02) 2610-1010","http://www.cgprdi.org.tw/","111.04.25","硼酸及其鹽類、木醣醇、濕麵筋、順丁烯二酸、水分、粗灰分、著色劑、防腐劑、黴菌毒素-多重毒素分析、黃麴毒素、丙酸","衛生福利部111年04月25日衛授食字第1119020113號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637865832099959716&type=4","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637865835327214148&type=4"
"025","正修科技大學超微量研究科技中心(環境檢測實驗室)","833高雄市鳥松區澄清路840號","(07) 731-0606","http://www2.csu.edu.tw/csitshow/micro/index-1.htm","111.08.22","戴奧辛及多氯聯苯(肉類、乳品類、蛋類、魚貝類、油脂類)","衛生福利部111年08月22日 衛授食字第1111105387號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637968650363175635","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637987672062012180&type=4"
"026","弘光科技大學(食品與化妝品品質檢驗與分析中心)","433台中市沙鹿區中棲路34號","(04) 2631-8652","http://web.hk.edu.tw/~tacfc/index.files/options_basic_7.html","109.05.26","植物性成分-洋蔥、韭、蕎、蔥、蒜、硼酸及其鹽類、諾羅病毒、沙波病毒、A型肝炎病毒、二氧化硫、星狀病毒、冬蟲夏草、蟲蛹草、過氧化氫、沙門氏桿菌、防腐劑","衛生福利部109年05月26日衛授食字第1091103164號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637262601491052265","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637275826487151086"
"027","華友科技顧問股份有限公司(藥物食品化粧品檢驗實驗室)","24255新北市新莊區中正路610、612號","(02) 2906-0887","http://www.hwayo.com.tw/","111.07.04","西藥成分定性(232) (食品)","衛生福利部111年07月04日衛授食字第1111104140號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637927115342647190","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637934124463507224&type=4"
"029","台灣檢驗科技股份有限公司(化學實驗室-台北)","24886新北市新北產業園區五權七路25號","(02) 2299-3279","http://www.tw.sgs.com/zh_tw/home_tw_v2","110.01.21","材質試驗(鉛、鎘)、溶出試驗(鉛、鎘)、雙酚A、溶出試驗(高錳酸鉀消耗量)、溶出試驗(甲基丙烯酸甲酯單體)、溶出試驗(甲醛)、溶出試驗(蒸發殘渣)、溶出試驗(氯乙烯單體)、溶出試驗(氯仿可溶物)、溶出試驗(酚)、溶出試驗(以Pb計)、溶出試驗(砷)、溶出試驗(鋅)、砷之檢驗(以As計)、溶出試驗(銻、鍺)、材質試驗(鋇)、材質鑑別、材質試驗(螢光增白劑-遷移性螢光物質試驗)、耐熱性試驗、溶出試驗(三聚氰胺)、溶出試驗(總乳酸)、溶出試驗(著色劑)、材質試驗(氯乙烯單體)、材質試驗(二丁錫化物)、材質試驗(甲酚磷酸酯)、材質試驗(苯乙烯、甲苯、乙苯、正丙苯、異丙苯)、材質試驗(偏二氯乙烯單體)、溶出試驗(氯甲代環氧丙烷單體)、溶出試驗(氯乙烯單體)、溶出試驗(BBP、DEHA、DINP、DIDP)、溶出試驗(酚)-哺乳器具除外橡膠類、哺乳器具橡膠類、溶出試驗(鋅)-哺乳器具橡膠類、溶出試驗(鉛)-玻璃、陶瓷器、施琺瑯、材質試驗(2-巯基咪唑啉)-哺乳器具除外橡膠類、材質試驗(鉛、鎘)-哺乳器具除外橡膠類、聚甲基丙烯酸甲酯、聚醯胺(尼龍)、聚乙烯、聚丙烯、聚甲基戊烯、溶出試驗(甲基丙烯酸甲酯單體)-聚甲基丙烯酸甲酯、溶出試驗(己內醯胺單體)-聚醯胺(尼龍)、塑膠類食品容器-可塑劑、免洗筷過氧化氫、免洗筷二氧化硫、材質試驗(鉛、鎘)-聚對苯二甲酸乙二酯、材質試驗(鉛、鎘)-聚乳酸、材質試驗(鉛、鎘)-聚苯砜樹酯塑膠類嬰兒奶瓶、材質試驗(鉛、鎘)-聚碳酸酯、材質試驗(鉛、鎘)-聚醚砜樹酯塑膠類嬰兒奶瓶、溶出試驗(甲醛)-未以塑膠淋膜紙類製品、溶出試驗(銻、鍺)-聚對苯二甲酸乙二酯)、塑膠類嬰兒奶瓶中雙酚A、食品器具、容器、包裝製造修補用重金屬(鉛、銻)、聯苯(免洗筷)","衛生福利部110年01月21日衛授食字第1101100211號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637471679301437825","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637471684611125653"
"031","統一企業股份有限公司(新市品管課)","74443台南市新市區大營里7號","(06) 599-1511","http://www.uni-president.com.tw/","111.04.11","生菌數、大腸桿菌、大腸桿菌群、乳酸菌、水分、黴菌及酵母菌、固形物、粗灰分","衛生福利部111年04月11日衛授食字第1110603194號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637853778592751488&type=4","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637853832091473591&type=4"
"033","台灣檢驗科技股份有限公司(食品實驗室-台中)","40755台中市台中工業區14路9號","(04) 2359-1515","http://www.tw.sgs.com/zh_tw/home_tw_v2?","111.01.05","粗蛋白、順丁烯二酸、甜味劑、糖類(葡萄糖、半乳糖、乳糖、蔗糖、麥芽糖、果糖)、殘留農藥-殺菌劑二硫代胺基甲酸鹽類(二)、防腐劑、生菌數、大腸桿菌群、金黃色葡萄球菌、黴菌及酵母菌、殘留農藥-多重殘留分析(五)、二氧化硫(食品)、酸價、金黃色葡萄球菌、沙門氏桿菌、腸桿菌科、水分、粗灰分、粗脂肪、食品中脂肪酸、水產品中揮發性鹽基態氮、大腸桿菌","衛生福利部111年01月05日衛授食字第1100039553號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637771600192876385&type=4","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637771532305380466&type=4"
"035","義美食品股份有限公司(義美食品股份有限公司實驗室)","33855桃園市蘆竹區南工路一段11號","(03) 322-2406","http://www.imeifoods.com.tw/","111.08.23","三聚氰胺、防腐劑、生菌數、大腸桿菌群、二氧化硫(食品)、腸桿菌科、丙酸、大腸桿菌、甜味劑(建議)、放射性核種(碘-131、銫-134、銫-137)","衛生福利部111年08月23日衛授食字第1111105420號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637973674095274302&type=4","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637973677706692384&type=4"
