認證編號,實驗室名稱,實驗室地址,實驗室電話,實驗室網站,通過日期,認證項目,公告資訊名稱,公告資訊連結,認證證書連結
"037","宜蘭縣政府衛生局(檢驗稽查科)","26051 宜蘭縣宜蘭市女中路二段287號","(039) 322-634","http://www.ilshb.gov.tw/","111.03.17","二氧化硫(食品)、生菌數、大腸桿菌群、硼酸及其鹽類、過氧化氫、金黃色葡萄球菌、殘留農藥-多重殘留分析(五)、著色劑、大腸桿菌群(包(盛)裝飲用水)、綠膿桿菌(包(盛)裝飲用水)、糞便性鏈球菌(包(盛)裝飲用水)、殘留農藥-殺菌劑二硫代胺基甲酸鹽類(二)、防腐劑、著色劑(二)、禽畜產品中殘留農藥-多重殘留分析、腸炎弧菌、食品中單核球增多性李斯特菌、沙門氏桿菌、病原性大腸桿菌、腸桿菌科、甜味劑多重分析、大腸桿菌","衛生福利部111年03月17日衛授食字第1119012327號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637832284592565159&type=4","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637835696653554578&type=4"
"038","新竹縣政府衛生局(檢驗科實驗室)","30295 新竹縣竹北市光明七街1號","(035)518-160","http://www.hcshb.gov.tw/index.jsp","111.05.02","防腐劑、生菌數、大腸桿菌、大腸桿菌群、過氧化氫(食品)、丙酸、硼酸及其鹽類","衛生福利部 111年05月02日衛授食字第1119021270號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637728518478761729&type=4","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637873695049356385&type=4"
"039","臺東縣衛生局(食品藥政及檢驗科實驗室)","95049台東縣台東市博愛路336號","(089) 323-370","http://www.ttshb.gov.tw/","110.01.12","過氧化氫(食品)、硼酸及其鹽類、甲醛(二)、甲醛(乙醯(代)丙酮法)、二氧化硫(食品)、防腐劑","衛生福利部110年01月12日衛授食字第1091108303號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637461601878822500","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637462310004563034"
"040","嘉義縣衛生局(檢驗科實驗室)","61249嘉義縣太保市祥和二路東段3號","(05) 3620-609","http://www.cyshb.gov.tw/main.asp","111.03.17","硼酸及其鹽類、過氧化氫(食品)、亞硝酸鹽、四環黴素類、氯黴素類、抗原蟲劑、二氧化硫(食品)、甲醛(二)、甲醛(乙醯(代)丙酮法)、硝基呋喃代謝物、防腐劑、黃麴毒素、甜味劑","衛生福利部111年03月17日衛授食字第1110006452號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637832284592395060&type=4","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637835696654093141&type=4"
"041","花蓮縣衛生局(檢驗科實驗室)","97058花蓮縣新興路200號","(038) 237-138","http://www.hlshb.gov.tw/","111.05.17","亞硝酸鹽、二氧化硫(食品)、硼酸及其鹽類、過氧化氫、孔雀綠及其代謝物、卡巴得及其代謝物、氯黴素類、二甲基黃及二乙基黃防腐劑、著色劑、食品中咖啡因、飲料中咖啡因、硝基呋喃代謝物、乙型受體素類","衛生福利部111年05月17日衛授食字第1111103125號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637884880020102374&type=4","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637884883227683653&type=4"
"042","彰化縣衛生局(檢驗科實驗室)","50049 彰化市中山路2段162號","(04) 711-5141","http://www.chshb.gov.tw/","111.05.02","硼酸及其鹽類、咖啡因(CNS)、飲料中咖啡因、過氧化氫、甜味劑、著色劑、二氧化硫(食品)、孔雀綠及其代謝物、卡巴得及其代謝產物、β-內醯胺類抗生素、防腐劑、亞硝酸鹽、著色劑(二)、脂溶性維生素、生菌數、大腸桿菌、大腸桿菌群、包(盛)裝飲用水中大腸桿菌群、包(盛)裝飲用水中綠膿桿菌、包(盛)裝飲用水中糞便性鏈球菌、乙型受體素類、甜味劑多重分析、順丁烯二酸、腸桿菌科、金黃色葡萄球菌、甲醛(二)、甲醛(乙醯(代)丙酮法)、丙酸","衛生福利部111年05月02日衛授食字第1119014342號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637872798738188099&type=4","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637873695051266829&type=4"
"043","嘉義市政府衛生局(檢驗科實驗室)","60097 嘉義市西區德明路1號","(05) 233-8066","http://www.cichb.gov.tw/news/index.asp?flag-script=A","111.08.23","亞硝酸鹽、過氧化氫、硼酸及其鹽類、殘留農藥-多重殘留分析(五)、生菌數、大腸桿菌群、防腐劑殘留農藥-殺菌劑二硫代胺基甲酸鹽類(二)、著色劑、棒麴毒素、著色劑(二)、腸桿菌科、甜味劑多重分析、大腸桿菌","衛生福利部111年08月23日衛授食字第1111105397號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637969524679466956&type=4","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637969633458811475&type=4"
"046","永信藥品工業股份有限公司(檢驗實驗室)","43769台中市大甲區日南里工九路27號","(04) 2681-5181","http://www.ysp.com.tw/ysp/index.aspx","111.04.13","生菌數、大腸桿菌群、黴菌及酵母菌、阪崎腸桿菌、沙門氏桿菌、金黃色葡萄球菌、乳品中單核球增多性李斯特菌、大腸桿菌","衛生福利部111年04月13日衛授食字第1110603341號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637855463445949612&type=4","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637873695047936534&type=4"
"048","臺北市政府衛生局(檢驗室)","11267臺北市北投區石牌路2段111號","(02) 2828-0102","http://www.health.gov.tw/","111.05.11","生菌數、大腸桿菌、大腸桿菌群、防腐劑、亞硝酸鹽、三聚氰胺、食品中過氧化氫、包裝(盛裝)飲用水及食用冰塊中重金屬(鉛、鎘、汞、砷、銻)、鄰苯二甲酸酯類、脂肪酸、二甲基黃及二乙基黃、動物用藥多重殘留分析(二)、殘留農藥-殺菌劑二硫代胺基甲酸鹽類(二)、殘留農藥-多重殘留分析(五)、抗氧化劑、著色劑、動物性成分-牛、豬、雞、西藥成分定性(食品)(232)、腸桿菌科、乙型受體素類、著色劑(二)、甜味劑多重分析","衛生福利部111年05月11日衛授食字第1111102944號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637872798737298078&type=4","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637879682115247253&type=4"
"049","基隆市衛生局(檢驗科實驗室)","20647基隆市七堵區工建路2號","(02) 2452-9859","http://www.klchb.gov.tw/ch/00_home/home2.aspx","111.01.14","著色劑、過氧化氫、二氧化硫(食品)、甜味劑、硼酸及其鹽類、防腐劑、亞硝酸鹽、包裝(盛裝)飲用水及食用冰塊中重金屬(鉛、鎘、汞、砷、銻)、著色劑(二)、順丁烯二酸、菇蕈類中重金屬(鉛、鎘)、丙酸、蛋類中重金屬(鉛、銅)","衛生福利部111年01月14日衛授食字第1111100341H號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637780377089426375&type=4","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637780411432826503&type=4"
"050","苗栗縣政府衛生局(檢驗科實驗室)","36095苗栗縣後龍鎮大庄里光華路373號","(037)558-601","https://www.mlshb.gov.tw/tc/index.aspx","111.06.15","硼酸及其鹽類、二氧化硫(食品)、亞硝酸鹽、防腐劑、過氧化氫、甜味劑、著色劑、氯黴素類","衛生福利部111年06月15日衛授食字第1111103781號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637909950066381644&type=4","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637909970585934531&type=4"
"051","高雄市政府衛生局(檢驗科)","802 高雄市苓雅區凱旋二路132-1號7樓、8樓","(07) 713-4000","http://www.kcg.gov.tw/","111.04.01","生菌數、大腸桿菌群、黴菌及酵母菌、仙人掌桿菌、金黃色葡萄球菌、沙門氏桿菌、糞便性鏈球菌、綠膿桿菌、大腸桿菌群(包(盛)裝飲用水)、硼酸及其鹽類、過氧化氫、亞硝酸鹽、殘留農藥-殺菌劑二硫代胺基甲酸鹽類(二)、動物用藥-多重殘留分析(二)、殘留農藥-多重殘留分析(五)(380品項)、β-內醯胺類抗生素、防腐劑、動物性成分-定性篩選及魚、豬、雞、牛、飲水中溴酸鹽、氯黴素類、包裝(盛裝)飲用水及食用冰塊中重金屬、順丁烯二酸、腸炎弧菌、基因改造食品黃豆轉殖品項40-3-2(RRS)、A2704-12、A5547-127、DP-305423-1、DP-356043-5、MON87705、MON87708、MON89788、MON87701、MON87769、BPS-CV127-9、DAS -68416-4、FG72、禽畜產品中殘留農藥-多重殘留分析、西藥成分定性(232)(食品)、病原性大腸桿菌、四環黴素類、乙型受體素類、腸桿菌科、動物性成分-羊、甜味劑多重分析、放射性核種(碘-131、銫-134、銫-137)、大腸桿菌、卡巴得及其代謝物、甜味劑、食品中溴酸鹽","衛生福利部111年04月01日衛授食字第1110007330號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637849272837045126&type=4","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637849467678660892&type=4"
"052","臺南市政府衛生局(檢驗中心)","73064臺南市新營區東興路163號","(06) 632-2120","http://health.tainan.gov.tw/tnhealth/","111.08.23","生菌數、大腸桿菌群、動物性成分-定性篩選及豬、雞、牛、食品中植物性成分-洋蔥、蔥、蒜、韭、蕎、基因改造食品(40-3-2(RRS)、A2704-12、A5547-127、BPS-CV127-9、DAS-68416-4、DP-305423-1、DP-356043-5、MON87705、MON87708、MON89788、MON87769、MON87701)、動物用藥-多重殘留分析(二)、殘留農藥-殺菌劑二硫代胺基甲酸鹽類(二)、殘留農藥-多重殘留分析(五)(380)、食品中摻加西藥成分(232)、禽畜產品中殘留農藥(129)、甲基汞(三)、水產動物中重金屬(鉛、鎘)、抗生素及其代謝物、抗生素及其代謝物(二)、乙型受體素類、動物性成分-羊、大腸桿菌、腸桿菌科、甜味劑多重分析、水產動物類、禽畜產品類及蜂蜜中重金屬(鉛、鎘)、黃豆轉殖品項(FG72)、食品中溴酸鹽","衛生福利部111年08月23日衛授食字第1111105392號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637969524679046948&type=4","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637969633459251486&type=4"
"053","臺中市食品藥物安全處(檢驗組實驗室)","40876台中市南屯區向心南路811號4樓、5樓","(04) 2526-5394","http://www.health.taichung.gov.tw/internet/main/index.aspx","111.04.08","生菌數、大腸桿菌群、硼酸及其鹽類、過氧化氫(食品)、防腐劑、橘黴素、殘留農藥-殺菌劑二硫代胺基甲酸鹽類(二)、殘留農藥-多重殘留分析(五)、動物性成分-定性篩選、豬、雞、牛、羊、西藥成分定性(232)(食品)、乙型受體素類、大腸桿菌","衛生福利部111年04月08日衛授食第1119015582號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637457118970900541","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637853832092293571&type=4"
"054","桃園市政府衛生局(食品管理暨檢驗科)","33084桃園市中壢區溪州街296號4樓","(03) 433-1025","http://www.tychb.gov.tw/big5/default.asp","111.04.15","四環黴素類、氯黴素類、安保寧、抗生素及其代謝物、離子型抗球蟲藥、抗原蟲劑、飲料中咖啡因、二氧化硫(食品)、防腐劑、硼酸及其鹽類、過氧化氫(食品)、著色劑、二甲基黃及二乙基黃、順丁烯二酸、殘留農藥-多重殘留分析法(五)、殺菌劑二硫代胺基甲酸鹽類、黃麴毒素、生菌數、大腸桿菌群、包(盛)裝飲用水中大腸桿菌群、包(盛)裝飲用水中綠膿桿菌、包(盛)裝飲用水中糞便性鏈球菌、沙門氏桿菌、西藥成分定性(232) (食品)、腸桿菌科、乙型受體素類、大腸桿菌、甜味劑","衛生福利部111年04月15日衛授食字第1119015625號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637859739882580275&type=4","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637859740229383950&type=4"
"055","雲林縣衛生局(檢驗科實驗室)","64054雲林縣斗六市府文路34號","(05) 533-0556","http://www.ylshb.gov.tw/","111.05.02","生菌數、大腸桿菌、大腸桿菌群、過氧化氫、亞硝酸鹽、糞便性鏈球菌(包裝飲用水)、綠膿桿菌(包裝飲用水)、大腸桿菌群(包裝飲用水)、二氧化硫(食品)、硼酸及其鹽類、二甲基黃及二乙基黃、甲醛(二)、甲醛(乙醯(代)丙酮法)、殘留農藥-殺菌劑二硫代胺基甲酸鹽類(二)、殘留農藥-多重殘留分析(五)、著色劑、防腐劑、著色劑(二)、腸桿菌科、丙酸","衛生福利部111年05月02日衛授食字第1119015494號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637872798737758079&type=4","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637873695047526496&type=4"
"057","財團法人台灣商品檢測驗證中心(食品安全暨藥粧分析實驗室)","33383桃園市龜山區文明路29巷8號","(03) 328-0026","http://www.etc.org.tw/cubekm/front/bin/home.phtml","111.04.29","塑化劑、硼酸及其鹽類、二氧化硫(食品)、亞硝酸鹽、過氧化氫、甲醛(二)、抗氧化劑、順丁烯二酸、甲醛(乙醯(代)丙酮法)、防腐劑、飲料中咖啡因、咖啡因(CNS)、氯黴素類、三聚氰胺、殘留農藥-殺菌劑二硫代胺基甲酸鹽類(二)、殘留農藥-多重殘留分析(五)、3-單氯丙二醇、銅葉綠素、大腸桿菌群、生菌數、禽畜產品中殘留農藥-多重殘留分析、西藥成分定性(食品)(232)、包裝飲用水及食用冰塊中重金屬(鉛、鎘、砷、汞、銻)、甜味劑(多重)、腸桿菌科、丙酸、著色劑、沙門氏桿菌、大腸桿菌、飲料中香豆素、金黃色葡萄球菌、單核球增多性李斯特菌","衛生福利部111年04月29日衛授食字第1111102728D號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637873442336910254&type=4","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637874346806601882&type=4"
"058","新北市政府衛生局(檢驗科實驗室)","220新北市板橋區英士路192-1號","(02)2257-7155","http://www.health.ntpc.gov.tw/","111.03.24","著色劑、硼酸及其鹽類、過氧化氫、防腐劑、生菌數、大腸桿菌群、金黃色葡萄球菌、沙門氏桿菌、殘留農藥-殺菌劑二硫代胺基甲酸鹽類(二)、腸炎弧菌、仙人掌桿菌、殘留農藥-多重殘留分析(五)、西藥成分定性(食品)(232)、病原性大腸桿菌、禽畜產品中殘留農藥、放射性核種(碘-131、銫-134、銫-137)、甜味劑多重分析、乙型受體素類、大腸桿菌","衛生福利部111年03月24日衛授食字第1110006927號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637838233271079323&type=4","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637873695050756918&type=4"
"059","國立中興大學(農藥殘留檢測中心)","40227台中市南區興國大145號","(04) 2285-4817","http://www.nchu.edu.tw/index1.php","111.01.17","殘留農藥-殺菌劑二硫代胺基甲酸鹽類(二)、殘留農藥-多重殘留分析(五)","衛生福利部111年01月17日 衛授食字第1111100358D號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637781159941161852","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637934131948431075&type=4"
"061","勝昌製藥廠股份有限公司(勝昌檢驗中心)","302桃園市中壢區民族路六段436號","(03) 490-9682","http://www.herb.com.tw/front/bin/notfound.phtml?Code=lock","110.05.20","黃麴毒素","衛生福利部110年05月20日衛授食字第1101103710號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637575474755120964&type=4","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637583177698984932&type=4"
"063","屏東縣檢驗中心(食品檢驗課)","90054屏東市自由路272號","(08) 737-0065","http://www.ptshb.gov.tw/style/front001/bexfront.php","111.03.30","硼酸及其鹽類、亞硝酸鹽、孔雀綠及其代謝產物、安保寧(二)、3-單氯丙二醇、著色劑、過氧化氫(食品)、殘留農藥-殺菌劑二硫代胺基甲酸鹽類(二)、防腐劑、乙型受體素類、離子型抗球蟲藥、殘留農藥-多重殘留分析(五)、二氧化硫(食品)、動物用藥-多重殘留分析(二)、大腸桿菌群、大腸桿菌、生菌數、著色劑(二)、腸桿菌科、包裝飲用水中(大腸桿菌群、糞便性鏈球菌、綠膿桿菌)、甜味劑多重分析、氯黴素類、水產動物類、禽畜產品類及蜂蜜中重金屬","衛生福利部111年03月30日衛授食字第1119013082號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637843362729362677&type=4","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637843412998514922&type=4"
"065","新竹市衛生局(檢驗科實驗室)","30051新竹市建功二路20巷1號","(03) 572-3515轉261","http://dep.hcchb.gov.tw/","111.03.01","咖啡因(CNS)、咖啡因(公告)、甲醛(二)、甲醛(乙醯(代)丙酮法)、甜味劑","衛生福利部111年03月01日衛授食字第1119008637號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637818313649895972&type=4","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637818334244074133&type=4"
"066","南投縣政府衛生局(檢驗科實驗室)","50462南投市復興路6號","(049)2233018","https://www.ntshb.gov.tw/Default.aspx","111.05.17","生菌數、大腸桿菌、包裝飲用水及食用冰塊中重金屬(鉛、鎘、汞、砷、銻)、大腸桿菌群(包(盛)裝飲用水)、綠膿桿菌(包(盛)裝飲用水)、糞便性鏈球菌(包(盛)裝飲用水)、食用油脂中重金屬(汞、砷、鉛、銅)、過氧化氫(食品)、二氧化硫(食品)、硼酸及其鹽類、材質試驗(鉛、鎘)、大腸桿菌群、溴酸鹽、菇蕈類中重金屬(鉛、鎘)、食用油脂及奶油中重金屬(砷、汞、鉛)、防腐劑、亞硝酸鹽","衛生福利部111年05月17日衛授食字第1111103118號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637884880020262372&type=4","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637884883228043684&type=4"
"068","歐陸食品檢驗股份有限公司(歐陸食品檢驗-高雄)","80644高雄市前鎮區新生路248-37號4樓","(07)975-0101轉102","https://www.twincn.com/item.aspx?no=53968514","111.08.23","食用藻類中無機砷、甲基汞(三)、防腐劑、抗氧化劑、3-單氯丙二醇、亞硝酸鹽、過氧化氫、著色劑、硼酸及其鹽類、二氧化硫(食品)、著色劑(二)、蘇丹色素、三聚氰胺、順丁稀二酸、二甲基黃及二乙基黃、包裝(盛裝)飲用水及食用冰塊中重金屬(鉛、鎘、汞、砷、銻)、水產動物中無機砷、禽畜內臟中重金屬(鉛、鎘)、食米中無機砷、蘇丹色素(二)、飲料中咖啡因、甲醛(二)、甲醛(乙醯(代)丙酮法)、蔬果植物、果醬及果凍中重金屬(鉛、鎘、汞)、丙酸、水產品中揮發性鹽基態氮、食品添加物檢驗規格(24.鉛檢查法)、食品添加物檢驗規格(7.重金屬檢查法)、食品添加物檢驗規格(8.砷檢查法)、水產動物類、禽畜產品類及蜂蜜中重金屬(鉛、鎘)、食用油脂及奶油中重金屬(砷、汞、鉛)、甜味劑(建議)、甜味劑(多重)","衛生福利部111年08月23日衛授食字第1111105413號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637973674094544299&type=4","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637973677707488867&type=4"
"069","統一超商股份有限公司(統一超商品質檢驗實驗室)","320桃園市中壢區北園路37號","(03)453-5332","https://www.7-11.com.tw/company/quality3.asp","111.04.13","生菌數、大腸桿菌群、沙門氏桿菌、著色劑、大腸桿菌","衛生福利部111年04月13日衛授食字第1110603623號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637855463446109746&type=4","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637855500965873117&type=4"
"070","正修科技大學超微量研究中心(食品藥物實驗室)","83347高雄市鳥松區澄清路840號","(07) 735-8800","http://www2.csu.edu.tw/csitshow/micro/index-1.htm","109.06.15","粗脂肪、粗灰分、水分、粗蛋白、殘留農藥-殺菌劑二硫代胺基甲酸鹽類(二)、殘留農藥-多重殘留分析(五)(380項)","衛生福利部109年06月15日衛授食字第1091103669號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637279198518168941","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637279211231196011"
"071","國立中興大學土壤調查試驗中心(化學實驗室)","40227台中市南區國光路250號","(04)2284-0376","http://www.nchu.edu.tw/index1.php","111.04.14","生菌數、大腸桿菌、大腸桿菌群、黴菌及酵母菌、包裝(盛裝)飲用水及食用冰塊中重金屬(鉛、鎘、汞、砷、銻)","衛生福利部111年04月14日 衛授食字第1110603706號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637858795846649553","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637858859695374317&type=4"
"073","振芳股份有限公司(品保實驗室)","248新北市五股區五股工業區五工六路22號","(02)2299-2031轉3201","http://www.gemfont.com.tw/gf-ec/store.nsf/Gemfontindex?OpenPage","109.06.15","乳酸菌","衛生福利部109年06月15日衛授食字第1091103628號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637279833323718849","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637279997922262269"
"074","澎湖縣政府衛生局(檢驗科)","880 澎湖縣馬公市西文里118-2號","(06)9215351","http://www.phchb.gov.tw/ch/index.jsp","111.01.24","丙酸、過氧化氫、硼酸及其鹽類","衛生福利部111年01月24日衛授食字第1110001379號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637788983522368994&type=4","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637789796164677642&type=4"
"075","金門縣衛生局(藥物食品檢驗科附設檢驗室)","89142金門縣金湖鎮新市里復興路1-12號","(082)330697","http://www.kmhb.gov.tw/","110.03.26","黃麴毒素、防腐劑、亞硝酸鹽、食品中二氧化硫、殘留農藥-殺菌劑二硫代胺基甲酸鹽類(二)、殘留農藥-多重殘留分析(五)、著色劑(二)、包(盛)裝飲用水(大腸桿菌群、糞便性鏈球菌、綠膿桿菌)","衛生福利部110年03月26日衛授食字第1101102149號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637526380599378806&type=4","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637527205839358244&type=4"
"076","黑松股份有限公司(食品安全實驗室)","320桃園市中壢區中園路178號","(03)452-3101轉770","http://www.heysong.com.tw/","110.04.13","包裝(盛裝)飲用水及食用冰塊中重金屬(鉛、鎘、汞、砷、銻)","衛生福利部110年03月26日衛授食字第1101102140號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637526380598762923&type=4","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637527205839740429&type=4"
"077","佳美檢驗科技股份有限公司(佳美檢驗科技股份有限公司檢驗室)","407台中市台中工業區32路5號","(04)2359-5762","http://www.cmit.com.tw/","111.05.13","三聚氰胺、二甲基黃及二乙基黃、咖啡因、二氧化硫(食品)、飲料中咖啡因、生菌數、大腸桿菌群、黴菌及酵母菌、食米中重金屬(鉛、鎘、汞)、殘留農藥-殺菌劑二硫代胺基甲酸鹽類(二)、防腐劑、甲基汞(三)、包裝飲用水中糞便性鏈球菌、包裝飲用水中大腸桿菌群、包裝飲用水中綠膿桿菌、仙人掌桿菌、沙門氏桿菌、包裝(盛裝)飲用水及食用冰塊中重金屬(鉛、鎘、汞、砷、銻)、殘留農藥-多重殘留分析(五)、黃麴毒素、抗生素及其代謝物、金黃色葡萄球菌、蔬果植物、果醬及果凍中重金屬(鉛、鎘、汞)、飲料及乳品中重金屬(鉛、銅、砷、銻)、乙型受體素類、大腸桿菌、水產動物類、禽畜產品類及蜂蜜中重金屬(鉛、鎘)、食用油脂及奶油中重金屬(砷、汞、鉛)","衛生福利部111年05月13日衛授食字第1111102849號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637884810991370641&type=4","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637884813648422277&type=4"
